gene_id	gene_name	SRX8042381	SRX8042382	SRX8042383	SRX8042384	SRX8042385	SRX8042386
ENSMUSG00000023978	Prph2	10	2	4	27	716	2
ENSMUSG00000030324	Rho	181	14	12	143	4028	13
ENSMUSG00000031450	Grk1	20	3	1	13	457	5
ENSMUSG00000056055	Sag	52	3	10	72.999	1263	6
ENSMUSG00000025900	Rp1	17	3	2	9	285	3
ENSMUSG00000026834	Acvr1c	10	4	366.99	23	5	8
ENSMUSG00000025386	Pde6g	7	8	1	12	295	14
ENSMUSG00000059991	Nptx2	3	5	413	59	5	11
ENSMUSG00000056043	Rgs9bp	18	4	9	8	194	2
ENSMUSG00000029491	Pde6b	23	16	15	22	369	5
ENSMUSG00000035456	Prdm8	4.16	3.079	102.857	11.733	1.087	4
ENSMUSG00000062082	Cd200r4	58	4	1	7	2	1
ENSMUSG00000020713	Gh	117	1471	5	258	4	12
ENSMUSG00000053963	6330403A02Rik	60	40	2765	500	31	111
ENSMUSG00000062372	Otof	18	3	50	321.001	2	19
ENSMUSG00000068037	Mas1	15	4	255	49	1	7
ENSMUSG00000020907	Rcvrn	5	3	5	11	108	7
ENSMUSG00000037446	Tulp1	9	13	7	24	194	5
ENSMUSG00000031789	Cngb1	5	17	16	14	194.001	6
ENSMUSG00000078816	Prkcg	28	44	1885	458	29	65
ENSMUSG00000057715	A830018L16Rik	13	7	512.999	141	3	13
ENSMUSG00000025582	Nptx1	64	60	2737	586	38	151
ENSMUSG00000026841	Fibcd1	11	4	131	15	3	8
ENSMUSG00000038255	Neurod2	3	8	446	112	2	27
ENSMUSG00000029335	Bmp3	18	16	389	60	6	27
ENSMUSG00000029151	Slc30a3	9	10	712	236	5	8
ENSMUSG00000048087	Gm4737	62.45	14.311	297.046	8.549	6.019	9.092
ENSMUSG00000029819	Npy	6	7	265	60	4	14
ENSMUSG00000090675	Olfr111	47.685	3	1	1	2	9
ENSMUSG00000032174	Icam5	14	19.925	1441.867	429.097	5	70.248
ENSMUSG00000050600	Zfp831	16	5	276	42	9	24
ENSMUSG00000074575	Kcng1	14	3	258	57	2	20
ENSMUSG00000046999	1110032F04Rik	2	5	92.075	22.967	2	3
ENSMUSG00000048483	Zdhhc22	2	6	83	19	2	3
ENSMUSG00000027270	Lamp5	4	17	312	72	9	20
ENSMUSG00000070570	Slc17a7	127	61	7922	2609	291	275
ENSMUSG00000024575	Pde6a	49	33	6	62	456	24
ENSMUSG00000059003	Grin2a	88	117.001	3318	953	23.001	196.999
ENSMUSG00000029054	Gabrd	4	12	260	81	6	8
ENSMUSG00000027849	Syt6	23	38	62.999	399	14	17
ENSMUSG00000034796	Cpne7	30	10	443	109	7	25
ENSMUSG00000028222	Calb1	60	23	500.001	48	17	46
ENSMUSG00000053025	Sv2b	147	118	3858	1004	138	201
ENSMUSG00000047935	Gm5607	21	10	42	232	1	20
ENSMUSG00000035033	Tbr1	19	4	660	247	3	35
ENSMUSG00000026163	Sphkap	57	54	1713.001	572.999	9	76
